PDGF_RECEPTOR_SIGNALING_NETWORK|5159	5154	56034	5156	5155	80310
NONCANONICAL_WNT_SIGNALING_PATHWAY|7525	5590	6885	23118	2316	1452	998	23002	8324	7474	4920	4773	9869	51701	6093	5879	409	7855	5599	55636	5601	5468	815	1855	387	8323	115908	1856	1857	2535	10454	5602
BETA3_INTEGRIN_CELL_SURFACE_INTERACTIONS|1287	7422	3912	3897	3674	3491	1288	2266	3910	1282	10085	50848	3381	5155	2200	5159	2244	2335	1285	8877	7048	3690	6696	1277	1278	3915	7045	3371	5175	5329	7448	5328	3791	3685	1286	961	3146	2243	7070	7057	6385	5817	6382
REGULATION_OF_P38-ALPHA_AND_P38-BETA|3932	5063	5879	3055	5062	7525	5606	2268	11221	5899	4067	998	1850	10454	6714	80824	83605	1843	5608	1432	5058	5600	7189	5898	4215	640	2534	6416	5592	7786	8737
VEGFR3_SIGNALING_IN_LYMPHATIC_ENDOTHELIUM|2324	6195	6464	3678	1398	2885	6416	1277	5295	3672	207	2277	7424	5595	3676	2335	1278	6654	1385	3673	5594	3688	5290	1432	5600
S1P4_PATHWAY|2768	2781	2771	5595	998	5335	10672	5594	2775	2770	387	8698	2773	53637	2775
E-CADHERIN_SIGNALING_IN_KERATINOCYTES|999	3728	208	5335	7408	5879	1499	2534	5295	84962	207	1956	8394	387	1495	846	6714	342184	7791	5290	1500
CXCR3-MEDIATED_SIGNALING_EVENTS|5604	253260	54331	3689	3845	6356	5600	1432	2833	1759	4283	4893	6373	5594	5295	64223	2833	5291	5605	2475	2773	5196	2775	5170	5608	2781	2771	6714	5296	2775	10563	408	207	3627	2833	3265	5595	3845	3683	5894	5290	79109	2770	2782	5293	8503	5606
P63_TRANSCRIPTION_FACTOR_NETWORK|8626	8626
CANONICAL_WNT_SIGNALING_PATHWAY|4040	2931	8312	8452	89780	1857	2932	7855	5525	53944	1855	55361	1499	1856	324	85409	8395	8498	59349	857
HIF-2-ALPHA_TRANSCRIPTION_FACTOR_NETWORK|23411	1387	112398	2395	3646	5054	10370	54583	6667	3791	4891	2033	5460	2034	5230	7422	1942	2002	6923	7291	9429	2056	8553	328	6513	112399	4323	2321	2113	55662	6921	405	7428	135
EPHB_FORWARD_SIGNALING|2048	2050	1946	5594	6714	2885	5604	5829	1398	998	3265	4690	3845	1949	6237	5058	5595	2886	5747	8867	2049	1947	1759	9448	3845	5290	2890	2047	6093	4893	6453	5906	5879	5908	1948	5295	6464	8976	7018	8997	5921
P75(NTR)-MEDIATED_SIGNALING|5602	1147	6272	51107	10018	4692	4099	839	56160	1869	4803	329	836	5601	11108	9500	317	4909	387	8517	55859	54205	207	4615	5663	84894	3654	65078	8878	57142	7157	5290	6868	4914	4314	5567	4316	330	5340	389	572	351	3551	6464	27018	396	627	5045	5590	6610	331	8767	842	4974	10782	83464	56616	4908	55851	5584	4804	7189	23385	28986	5599	5295	388	7531	5879
INTEGRIN-LINKED_KINASE_SIGNALING|94274	5879	10856	6935	10460	26472	998	63916	391	142	4666	55679	2932	3987	7791	7514	9815	253260	4659	64098	3611	9459	10398	55742	11140	6790	3320	595	7145	1385	80895	29780	8607	87	3725	81706	1499	6615	207	8874	8440	5829	8826	9793	1729
HIF-1-ALPHA_TRANSCRIPTION_FACTOR_NETWORK|3939	4907	207	7037	5236	5315	3952	1387	768	3689	7015	4843	5211	2235	2113	10370	10397	3091	3725	3172	6513	2645	4088	54583	5243	112399	4170	2353	6387	4869	4089	3099	123	5045	226	51564	7852	2023	405	1385	79365	8553	3098	3398	8648	9429	5230	2624	2022	1356	7422	6667	7033	133	1906	5054	2033	3484	664	10499	7018	3162	2056	6095	10987	5209
P38_MAPK_SIGNALING_PATHWAY|57551	4616	10454	4217	4294	7295	4215	6885	23118	9064	7186	7189	5608	4216	51347	83605	5600	5606	816	5879	10912	1647	4214	1432	472	808	9344
IGF1_PATHWAY|5580	3479	5894	6464	572	2887	8440	3480	6464	3667	9564	207	1399	5590	5170	5829	5770	3265	5587	5295	5747	7531	6198	2885	5290	10399	1398	6654	8660	7534	5781
REGULATION_OF_ANDROGEN_RECEPTOR_ACTIVITY|8648	367	25898	51564	3065	6256	10513	8850	2624	5451	7182	10499	2308	1958	6416	5585	10498	2033	2932	4193	3320	25803	6257	29843	23411	5599	10481	1387	1050	6736	11143	10919	6714	2908	8805	6605	5966	10524	83637	6599	7113	10399	5152	1432	3817	3301	6257	190	6258	3725	7181	354	6595	5608
THROMBIN-PROTEASE-ACTIVATED_RECEPTOR_(PAR)_PATHWAY|2147
SUMOYLATION_BY_RANBP2_REGULATES_TRANSCRIPTIONAL_REPRESSION|7341	9063	4193	5903	9759	5905	5901	3065	7514	8554	7329
ARF6_SIGNALING_EVENTS|9265	1950	7253	116984	3674	3082	2767	1942	23303	6714	382	408	409	26269	9744	1969	2769	2776	9630	11033	154	9266	185	4233	9098	51454	1956	4690	9922	28964	23527	3690	3973	5829	26034
SIGNALING_EVENTS_MEDIATED_BY_STEM_CELL_FACTOR_RECEPTOR_(C-KIT)|10019	1399	5728	5777	4254	3717	5894	5604	8651	6198	5290	2887	7409	867	3265	596	5170	6591	3815	1796	5287	6654	200734	5295	5595	6772	5605	6774	2549	207	10603	2885	2057	572	2932	6776	4286	1387	7006	2241	6464	5781	5599	4067	2309	9402	5800	4145	161742	11184	2056	26228
PLASMA_MEMBRANE_ESTROGEN_RECEPTOR_SIGNALING|4846	9475	2782	2776	10672	2099	4893	2100	9564	3479	6714	207	2885	3845	2774	54331	2767	27043	2773	2775	2769	5600	6654	6801	3480	1839	387	4313	5330	3845	5290	5295	4318	9630	2775	2771	2781	6464	5331	23236	4478	2770	3265
CLASS_IB_PI3K_NON-LIPID_KINASE_EVENTS|5604	23533	146850	5140	5294	5594
IL5-MEDIATED_SIGNALING_EVENTS|1154	6777	1439	4067	3567	3568	5295	6386	5290	5292	5781	3717	2885	6776
FAS_(CD95)_SIGNALING_PATHWAY|1432	1213	5602	5601	5290	5296	5170	329	841	8772	5291	637	4214	843	207	5981	23017	356	8837	6714	695	8837	8737	7430	5600	5295	1147	836	5293	8517	5599	6850	8503	8837	5609	6609	330	355	3551	5608
JNK_SIGNALING_IN_THE_CD4+_TCR_PATHWAY|1399	5599	4214	1398	11184	6416	9402	27040	6885	1326	3725	28988	3937	5579
P73_TRANSCRIPTION_FACTOR_NETWORK|9540	100	355	5371	23151	27065	5204	7490	2033	8611	2623	10413	274	9518	200933	25898	581	3566	4193	2319	1263	891	6273	174	54894	5600	7161	10524	1021	5054	51741	675	890	10399	23411	5300	9184	4609	64782	983	1432	9191	27113	9635	3714	25	5567	1017	196513	10018	5347	2810	23493	3716	5970	4720	83737	23327	8682	6667	3029	63970	5925	4914	5888	8626	2194	1111	578	3556	3297	7161	7161	7161	10277	5265	9134	699	2309	7846	1026	835
SIGNALING_EVENTS_MEDIATED_BY_HDAC_CLASS_III|23410	3206	8370	4654	2308	51547	4303	10891	1387	9759	581	7157	4209	84532	2547	2274	23411	2309	2033	55902	22933	8850	1026	3008	155871	7280	10376
UROKINASE-TYPE_PLASMINOGEN_ACTIVATOR_(UPA)_AND_UPAR-MEDIATED_SIGNALING|4321	2243	3678	2335	3675	3693	3690	6714	4691	4035	2358	2359	2357	2822	4318	3684	2244	5054	5879	4314	80310	7436	7448	3082	5328	4322	1398	1511	9622	1793	5159	5340	5329	1991	3685	2266	3689	3688	9564	11330	7040	1956
HYPOXIC_AND_OXYGEN_HOMEOSTASIS_REGULATION_OF_HIF-1-ALPHA|9978	3320	3091	7157	10956	6921	1029	112399	54583	8260	10987	6923	405	8453	64344	7428	55662	10399	112398
ATF-2_TRANSCRIPTION_FACTOR_NETWORK|596	890	5578	3048	3576	7054	1847	9555	1647	255631	10891	10524	1432	1466	51561	4843	5156	3725	2099	1385	10856	672	5594	1386	2033	5595	5268	3630	5601	1649	1843	43	4763	595	8452	2353	5925	383	3458	1850	6401	5328	5599	1019	122953	5600	3726	467	11221	5451	4313	3569	865	598	7042	9021	3280	3727	8739
SIGNALING_EVENTS_REGULATED_BY_RET_TYROSINE_KINASE|5566	5829	2549	2885	55715	1385	6464	5295	4690	9260	5578	5979	9564	5595	3667	5747	387	55816	1398	5781	6654	10818	5879	5599	1796	2886	6714	5594	5906	5290	2674	3725	2887	220164	2668	8660	85358	5921	3265
FOXM1_TRANSCRIPTION_FACTOR_NETWORK|890	994	2305	1019	1059	332	2353	9133	2931	891	6502	11200	1058	4313	1029	2099	2305	595	1387	4609	2619	9212	1063	1017	4751	1163	675	898	7039	3304	2305	3910	2119	983	5604	5925	2033	6667	5347	7515	3175	4775	255626
ALPHA6_BETA4_INTEGRIN-LIGAND_INTERACTIONS|3914	3915	3918	3912	3908	284217	3691	3909	3913	3911	3655
NONGENOTROPIC_ANDROGEN_SIGNALING|5594	23236	2770	5335	5290	54331	2796	5595	5879	3265	2771	5604	5747	367	207	27043	6462	6714	2773	998	5894	1385	2781	5330	2775	5331	5295	2353	2782	5336	5605	2775
ARF6_DOWNSTREAM_PATHWAY|5879	5329	5595	4830	375	387	5337	8766	8997	9727	382	5594	8394	5338	7074
ALPHA-SYNUCLEIN_SIGNALING|5071	1457	2185	3055	5337	640	9627	1861	11315	5330	6714	2534	6531	5595	7054	572	2268	5594	6850	2280	4067	5653	4129	5338	5528	7332	7525	5580	3932	2869	7345	10273	6622
P38_SIGNALING_MEDIATED_BY_MAPKAP_KINASES|7534	9261	4046	7532	1385	6929	5600	6722	7054	5894	2810	1432	994	7531	7529	3315	10971	2115	7867	7249	7533
ALPHA4_BETA1_INTEGRIN_SIGNALING_EVENTS|7094	6714	5879	10863	5786	2335	1793	58494	5567	5566	929	1398	5829	7412	4192	7057	6696	7534	3676	9564	10006	5575	4620	120425	28964	2185	7058	5573	382	5747	93185	3688	975
FOXO_FAMILY_SIGNALING|53944	6446	847	114907	5898	1454	3551	5347	23411	2308	10018	5901	2033	1387	1455	4303	5599	7874	1452	1499	1453	7531	5899	1147	4485	2538	1456	891	356	1647	7529	7533	7514	5601	5602	6648	6502	604	8850	10971	1027	1017	2309	7763	5934	7532	2810	207	7534
AURORA_A_SIGNALING|207	51343	81565	994	54998	6790	4193	5058	672	5528	1647	1058	5566	4946	5921	9212	28964	23424	7157	22974	5901	2932	9787	64506	8874	332	6867	9793	10460	4792	84962
ROLE_OF_CALCINEURIN-DEPENDENT_NFAT_SIGNALING_IN_LYMPHOCYTES|5581	5292	11261	5578	5588	1432	8021	581	1387	5534	7532	7533	2810	814	5590	3164	596	808	5901	7534	4773	5566	1827	4214	4772	3837	4209	5595	7531	1326	836	1452	9495	1457	5532	10971	5582	5579	23770	4775	7529	5601	598	3838	2033	5599	572	7514	10231	5530	2280	23523	5580	5579	2932	5583
VISUAL_SIGNAL_TRANSDUCTION-_CONES|407	3000	25769	6011	10681	145226	131890	2986	5146	6121	1261	2979	5959	54714	8787	2780	5149	2793	2978	388531	9227	9626	2784
CLASS_I_PI3K_SIGNALING_EVENTS_MEDIATED_BY_AKT|4303	1027	253260	5894	5566	2475	2932	572	7529	7531	3836	5591	7534	842	3320	4217	1147	208	2309	598	2810	79109	6714	6517	1026	207	64223	9882	5170	10971	7532	2308	2931	10000	7533
TRK_RECEPTOR_SIGNALING_MEDIATED_BY_PI3K_AND_PLC-GAMMA|4914	5580	2549	815	7529	7533	6654	5290	3845	4893	4803	814	3265	7534	116986	1385	2932	7442	6464	10971	2036	5295	1958	572	2810	6714	7531	5170	7532	595	7222	6776	2309	3845	5335	2885	207
A6B1_AND_A6B4_INTEGRIN_SIGNALING|7532	284217	6256	3912	3655	3552	7534	2064	7529	7533	5295	3909	6257	999	3913	10319	3908	5376	3914	3691	5578	5879	2885	10971	1308	4486	3915	3911	3688	6464	2810	2065	840	3265	3910	3918	6258	1956	1950	7531	4485	4233	6257	928	6198	207	5290
PLK2_AND_PLK4_EVENTS|10769	10733
ALK1_PATHWAY|90	94	2280
VALIDATED_NUCLEAR_ESTROGEN_RECEPTOR_BETA_NETWORK|6597	6598	2100	8648	6605	8431	4738	10499	9039	190	7561	9040	79039	8202	718
ERBB4_SIGNALING_EVENTS|26018	4734	2534	6776	83737	1742	4193	23118	10413	9542	5295	2066	685	5296	2069	2066	8503	6777	11059	5290	51741	863	5595	1839	3717	5617	5594	5293	5618	3084	9611	5291	2885	2904	2066	6868	6464	2064	145957	10718
PDGFR-BETA_SIGNALING_PATHWAY|7533	5595	9732	3932	6776	6464	5594	8826	6416	4609	3845	640	10092	8503	6494	9368	3845	3055	10787	9712	2885	1445	10109	5294	5610	5580	6714	55824	10458	7532	4067	5879	1796	5296	2002	5578	10093	5290	5906	10097	23533	5908	5867	7534	5335	25	4035	6197	59	3690	3265	5894	6722	5609	5295	6503	55845	387	5521	5605	5921	7529	10006	26999	3725	2059	2889	9351	5293	6772	5795	81	5604	5868	6777	673	3727	9564	2887	8440	5058	5159	2549	5581	8844	1398	8877	7525	2534	5602	4301	5599	5291	1901	5321	5770	5155	5781	5728	4893	7410	3717	2268	3685	2017	6774	396	10096	6654	6876	10095	2810	5518	10163	1785	10094	10971	93649	867	5771	7531	5300	2353	5601	8976	146850	4690	2909	116985	5515
IL1-MEDIATED_SIGNALING_EVENTS|7334	5608	5290	1147	4790	8517	7189	7850	4215	5970	6885	8878	5584	3551	23118	4615	5590	3556	7335	3654	3725	3553	5599	353376	23085	51135	10454	5295	834	3554	3557	3552	54472	11213
IL4-MEDIATED_SIGNALING_EVENTS|1051	1277	6403	4602	867	246	3662	2475	3597	3598	57379	3716	3717	2242	3500	7033	6777	5295	7070	4603	6776	3635	6361	3561	1432	5284	4049	6688	1278	207	2208	3497	6356	383	4988	5777	959	54625	9655	3718	598	1959	8660	2885	3565	3667	3567	6198	6778	8651	3690	84666	2113	6667	6464	604	3159	10344	3566	3502	5290	3586	9046	9021	2971
C-MYB_TRANSCRIPTION_FACTOR_NETWORK|8089	27044	100	2623	10454	839	1314	490	3950	1029	6688	3265	7329	1991	330	4602	5897	596	51176	5250	4654	463	759	6667	2625	9611	2113	10043	136	171558	22797	1387	1021	920	891	1052	1027	1211	6497	28996	2944	4353	6595	1050	1278	8379	5530	3015	8900	8826	5079	4094	23118	4069	5743	51701	5657	25942	290	10401	4893	5292	3815	947	1436	1051	2033	3280	2114	4254	10155	4144	161882	6885	7471	3845	4609	3312	4173	3845	595	4618	1026	5481	8535
EPHRIN_A__REVERSE_SIGNALING|2044	2534	1946
VALIDATED_TRANSCRIPTIONAL_TARGETS_OF_AP1_FAMILY_MEMBERS_FRA1_AND_FRA2|4318	4313	468	632	3726	3725	2033	4256	1029	3713	2697	1634	5329	55787	6667	3909	3162	2355	3691	890	4773	1278	5328	8061	4846	3727	3976	6347	9988	3576	595	7056	3569	7392	4312	4772	4775
SIGNALING_EVENTS_MEDIATED_BY_PTP1B|3953	5159	7295	10253	3674	6714	3630	1796	6774	387	857	1398	1447	3717	823	6777	2241	5770	207	3952	7297	4067	27040	4904	1436	6776	5155	3690	55503	5295	9021	9564	1000	7525	3643	640	1435	1950	3055	50507	5617	5618	6464	1445	2885	2212	3667	2268	2534	3932	5290	1956
IL2-MEDIATED_SIGNALING_EVENTS|10254	8660	4609	6774	4893	3458	3265	3845	5594	6654	9046	5921	8651	5290	9021	1154	6772	6850	5604	3845	8835	5894	5781	3716	3718	3932	2534	6777	22806	5295	2885	5579	9846	5601	596	3559	5605	3725	2185	3667	5599	6776	5528	8027	9261	5595	5600	3561	1017	5581	3558	6464	2353	1432	3560	387
REGULATION_OF_RETINOBLASTOMA_PROTEIN|1870	25	1158	1997	1386	5928	1027	4208	5601	4233	3065	8841	896	1869	1017	5077	6502	8535	1019	898	6908	4193	5468	6839	7343	5600	1387	7042	6688	2033	4286	4654	145258	1871	6598	6872	1029	1026	894	5515	1021	1487	6441	11016	5948	1432	1786	1050	26574	632	5894	23411	1874	1052	1437	860	28227	7027	595	1051	3725	5925	890	6597	6046
SIGNALING_EVENTS_MEDIATED_BY_HDAC_CLASS_I|53615	1387	25942	1107	4092	6774	7132	5566	4084	22933	79084	2287	5901	7341	23408	7528	9612	10013	125997	5905	3065	5903	5970	7181	9734	5928	5931	8841	9611	57154	23381	8850	161882	83933	9759	8932	10419	9219	4790	4792	7024	7329	5468	4149	1108	7124	57459	23410	23409	3066	2624	10284	79885	23309	7514	8819	51548	23411	2623	51564	51547	54815	23145	2033	55869	10014
EPHA2_FORWARD_SIGNALING|5295	6464	867	3636	5747	10451	5879	5290	2909	2885	7410	5058	1969	7074	9564	387	52	1942	6714
FOXA2_AND_FOXA3_TRANSCRIPTION_FACTOR_NETWORKS|213	5105	622	6927	4763	7351	2908	2147	3172	2538	6833	6514	2645	3157	5313	1050	37	3630	3169	7276	229	3767	7037	207	1052	1385	211	1051	3033	3484	1375	6667	174	3171	6928	335	126129	7080	3170	1374	8788	34	2294	6898	3651
TRK_RECEPTOR_SIGNALING_MEDIATED_BY_THE_MAPK_PATHWAY|5604	3845	6016	30844	673	6195	5908	1432	4908	1020	4893	8851	1958	5598	9261	5595	5606	5906	5607	4208	2002	5580	5894	6722	2353	6014	10746	3265	5594	3845	7442	5608	9252	1385	23623
ATM_PATHWAY|472	3014	993	25	7014	7156	1487	9656	64326	4193	995	51720	641	5884	9025	672	10524	4361	9126	10111	7334	5932	2177	637	7518	7529	4683	64421	8243	7158	84142	11200	10155	5883
EGF_RECEPTOR_(ERBB1)_SIGNALING_PATHWAY|1950	5058	2773	2770	8440	5296	6772	3845	4690	6714	8976	4893	6464	6464	8503	6654	3265	5747	7094	3845	5770	23396	6774	5291	6464	2885	5295	5293	5777	2934	5335	1956	5594	5921	2549	5290	5595	5781
EPHRIN_B_REVERSE_SIGNALING|1948	3932	6714	3674	2050	8440	5998	5295	2268	6416	7525	1947	4067	2534	2266	2243	5599	5290	2047	2244	6885	1759	640	7852	7074	2048	5879	3055	3690	5783
RXR_AND_RAR_HETERODIMERIZATION_WITH_OTHER_NUCLEAR_RECEPTOR|19	7376	5465	6198	5468	7067	596	10062	84498	5914	9971	6257	9612	5469	3164	5916	5915	5914	5915	7068	6258	5467	7421	5915	8648	6720	5915	6257	5916	7124	6256	7040
C-MYC_PATHWAY|5525	5062	6502	2648	8295	8607	6883	6881	10524	10856	2932	5515	4609	9913	6880	26959	8312	5371	4149	5300	8464	1029	7709	86	55294
HEDGEHOG_SIGNALING_EVENTS_MEDIATED_BY_GLI_PROTEINS|10284	5928	1452	2775	1387	2932	5604	2771	8819	8554	5931	3065	5580	7514	3958	9788	26160	2737	51684	8405	1454	6469	51715	23309	2770	1456	5566	23291	2736	53944	54331	2735	207	2773	3170	1453	8100	2782	409	2775	6608	27148	1455	11127	3066	25942	2781	5727	23145
SIGNALING_EVENTS_MEDIATED_BY_THE_HEDGEHOG_FAMILY|50937	6608	409	6491	2736	3549	55733	64399	4043	50846	2619	5727	156	5295	6469	5744	7042	91653	207	5290	8643	4036
ERBB_RECEPTOR_SIGNALING_NETWORK|2065	3084	1950	374	9542	10718	145957	1956	2066	3320	2066	2066	2064	685	2069	1839	9542	7039
SPHINGOSINE_1-PHOSPHATE_(S1P)_PATHWAY|4363	1901	1903	2776	9630	8879	10672	2773	2768	9294	53637	56848	2775	2770	8698	2771	2767	8877	2775	2781	81537	2769
SYNDECAN-4-MEDIATED_SIGNALING_EVENTS|8038	23495	3371	6387	5879	284217	2251	6386	7057	2147	10755	1785	5578	3678	87	5747	4318	84309	387	5340	5580	8324	7035	2335	4192	3909	2260	3688	6385	7852	2247	6352
ATR_SIGNALING_PATHWAY|3364	23145	995	23291	4176	5518	6118	63967	990	84126	5884	2177	5985	4171	4193	7534	50485	5883	993	6117	8914	5347	5983	7529	11073	4683	5521	1017	5888	545	5810	5984	675	1111	890	5515	54962	5982	22897
REGULATION_OF_NUCLEAR_SMAD2-3_SIGNALING|4089	3567	1385	1387	23309	10499	6667	5928	1874	6929	55802	6497	5933	51586	4303	2625	6670	3172	2309	3665	4435	8928	4208	7050	4092	865	2908	367	1875	1487	861	2033	864	8819	2308	467	145258	1386	4088	5054	2099	2648	1017	8850	860	4609	1019	1030	4149	51588	4087	79753	25942	7027	9611	1482	2353	7030	60436	6498	3493	3915	1278	1745	3065	2290	207	7421	3066	3312	7709	3693	3456	4654	10284	3586	5931	10401	3725	1026	8648	1051
IFN-GAMMA_PATHWAY|867	2475	6774	3458	816	5908	3716	808	10379	5295	817	51588	3659	80142	834	5594	1612	5595	1399	3459	5290	5604	1051	5906	5771	6772	5580	207	2033	3553	2889	818	8651	4214	3717	8554	815	4092	4296	5781	1387
IL6-MEDIATED_SIGNALING_EVENTS|5290	5580	3572	3055	1052	1432	3717	6416	8554	207	5879	598	3725	6772	9021	3929	3570	7184	3716	8600	5295	1051	2353	2549	7409	2885	2	3726	9846	5600	5791	1401	8543	6774	5608	5781	6654	2266	3659	4286	2308	7076	4609	10401	4170	3569	7297
ALK2_SIGNALING_EVENTS|655	269	4093	659	268	4089	3196	4090	2280	90	4086
ALTERNATIVE_NF-KAPPAB_PATHWAY|5971	23145	4791	4790	1147	9020
ANGIOPOIETIN_RECEPTOR_TIE2-MEDIATED_SIGNALING|185	5599	5747	285	7124	1026	6464	5594	2885	4690	5338	3678	51378	5829	5921	5595	5340	1432	5781	2534	5879	207	3688	4846	7010	1398	6776	2335	2247	9046	1997	5295	6777	5970	2886	2888	660	284	1998	2147	2002	79155	6198	4790	4313	2242	2113	5058	5290	2308
ARF6_TRAFFICKING_EVENTS|23396	6517	1785	382	3673	3672	4830	54536	23162	3559	3688	3676	9341	9043	55770	8516	1363	1499	8853	60412	5338	3655	3678	5898	1495	3685	5337	11336	1500	3630	7253	185	1910	10066	154	3675	9744	3680	1213	55763	8515	22801	3679	23265	10640	554	3831	999	274
EGFR-DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS|6654	3265	2885	1909	1956	2475	6464	1906	1950
RAS_SIGNALING_IN_THE_CD4+_TCR_PATHWAY|2002	5894	3265	5594	673	1326	2353	5595	5604	5579	5578	5778	4893	3845	3845
IL8-_AND_CXCR2-MEDIATED_SIGNALING_EVENTS|5170	5515	2769	5579	23236	3576	5578	7879	5880	1759	5518	408	146850	2771	2782	5294	5331	867	8766	9630	5338	1794	54331	5330	207	2268	3579	7408	5868	3055	5582	409	9844	4067	5579
ENDOTHELINS|5331	1432	4312	115	6548	2774	2353	1910	6714	2185	1281	57105	5588	114	196883	2775	1908	5321	9564	2781	113	1278	2768	2776	207	10800	1909	5604	5582	2767	2775	2769	1398	5605	9630	2770	5581	6550	5894	387	3725	3717	111	5583	5580	998	112	108	2771	109	5599	7225	1907	5879	23236	2773	5594	3265	5579	5330	1906	5579	107	5595	5578
SIGNALING_EVENTS_MEDIATED_BY_VEGFR1_AND_VEGFR2|1499	5580	23291	10645	8440	2242	5600	9261	5578	5894	26509	5579	5062	3326	7422	5795	2887	2321	9047	5566	5595	7448	375	387	5747	3320	808	1432	5606	5564	8165	2885	2549	5608	9146	5781	5829	7414	4734	867	3685	6461	5170	5571	1003	5604	857	6714	5771	5605	5777	3791	5335	2185	5290	673	5563	5594	6093	1785	207	5562	1495	4690	5295	4846	3690	998	2534	8826
FGF_SIGNALING_PATHWAY|2260	2249	4233	1000	1432	5170	5328	2263	6777	2253	5781	6464	2247	5594	6385	54756	6772	5295	207	10253	6654	6195	2353	2549	2185	999	3725	10818	1500	8074	5595	815	54434	4318	2885	9365	10298	6383	2017	2254	860	2263	632	9965	3082	867	4684	6696	2246	2263	1848	152831	6714	5290	5329	2261	6774	8817	5335	2264	8822	2251
PRESENILIN_ACTION_IN_NOTCH_AND_WNT_SIGNALING|7088	22943	5528	51107	3725	28514	79412	23145	6927	166	23291	1840	1452	4040	6885	5663	1499	23385	7471	4851	27123	85407	4734	10023	5595	4609	8321	1855	8312	2353	10454	83464	55851	1457	11197	5467	102	3516	2932	1487	5594	1387	595	51701	3065	324
NOTCH_SIGNALING_PATHWAY|9611	4851	1840	5045	23145	28514	1759	171558	8766	9148	1487	55294	8650	867	4237	26292	54567	9794	23013	4609	6502	27255	4853	5663	84441	7528	2625	2023	83737	3565	83464	84708	9612	3516	1026	3714	8038	8788	2060	92737	6500	4854	5932	4855	182	51107	10683	55851	8076	23385	595	2033	3065	2011	57534	102	8454	1272	23028
TCR_SIGNALING_IN_NAIVEF	VE_CD4+_T_CELLS|6464	10125	207	915	3123	3265	3551	5578	942	10235	6452	7189	8517	7535	5777	4893	867	84876	7454	2534	5579	916	4690	1147	55824	1445	2316	8915	84174	3122	9846	5335	5906	3845	3932	83593	3937	2885	3845	941	9402	9020	917	5788	27040	5588	5781	940	2533	920	27347	5728	3702	84433	1326	5581	11184	7409	55503	998	28988	5170	919	6654	3635	10892	6786
E2F_TRANSCRIPTION_FACTOR_NETWORK|1869	5928	472	1050	23468	1387	7528	4609	5422	144455	3090	23429	6241	8850	8409	5925	1017	8936	3065	4170	990	1875	5933	221223	983	5328	2033	2648	26959	6822	1870	5934	1066	898	4605	23491	11073	6595	1871	283848	8824	10155	51716	993	1876	896	1026	5902	672	7161	7515	5054	6240	1031	4998	1027	9134	7029	1719	7083	317	890	840	6667	23411	8295	10419	7030	1029	7298	4172	5932	1874	7027
RAPID_GLUCOCORTICOID_SIGNALING|5599	2782	1392	2774	54331	5600	5601	1432
NEPHRIN-NEPH1_SIGNALING_IN_THE_KIDNEY_PODOCYTE|5295	5291	5290	4868	7082	7225	5335	23607	5879	5601	2885	5293	8440	6416	5584	207	2534	4690	8503	572	50855	2151	7827	5599	8976	3725	55243	5296	409	5590	5602
CERAMIDE_SIGNALING_PATHWAY|637	5604	5154	8575	8772	8844	6609	5595	5074	5605	8717	8439	7132	5594	4609	207	8737	4790	4792	5599	427	5610	1509	5925	581	5894	9131	5580	5970	572	83939	596	6416	9530	8738	55512	4214	5590	7124	54205	8567	7186	9448	3479	56848	1950	330	841
PDGFR-ALPHA_SIGNALING_PATHWAY|3725	5335	1398	1457	3458	2002	5156	2353	5290	5295	857	859	3685	3716	2889	90525	6654	1399	2885	6722	6464	6461
IL3-MEDIATED_SIGNALING_EVENTS|3717	6776	3563	9846	1439	3065	598	7534	5568	5566	5295	6777	5781	2885	7532	1051	10256	6464	3562	3635	6726	1154	3397	5292	5567	5008	5290
ALPHAE_BETA7_INTEGRIN_CELL_SURFACE_INTERACTIONS|999	3695	3682
IL12-MEDIATED_SIGNALING_EVENTS|5608	917	3594	7879	3932	3002	3565	3606	6772	3717	1386	6774	3123	4790	920	7297	8807	4843	8767	3553	8651	8320	3560	6351	3592	5971	919	567	3593	3122	915	1234	3595	2475	3001	10912	4616	3561	4791	30009	5532	2353	3105	5606	6776	925	5970	6775	3554	916	5530	926	1432	6778	3558	3559	356	5534	56848	8809	6348	3142	3458
TGF-BETA_RECEPTOR_SIGNALING|5371	8312	50855	23327	331	6885	11171	4088	6464	54778	6198	9372	6498	409	168002	7049	4087	5170	1616	4089	5515	11059	1490	1499	7042	9392	23645	815	83658	9765	387	5520	857	6711	5516	10413	7043	57154	5499	1601	7046	7040	2280	23118	25805	10454	7048	6654	83737	64750	7531	4092	100506658	2885	83939
POSTTRANSLATIONAL_REGULATION_OF_ADHERENS_JUNCTION_STABILITY_AND_DISSASSEMBLY|2668	4316	1495	1499	382	3728	7074	1956	2768	9146	7879	4225	1950	836	1785	1500	2674	5879	2534	3265	79872	4233	91768	6714	4915	1387	627	10672	4830	6642	3481	1000	25	5979	54453	5868	3480	6585	4314	5777	8826	1832	999	6091	5770	998	102	10009
PLEXIN-D1_SIGNALING|64218	6237	3679	7422	22801	382	3680	8395	8829	3678	8515	9723	3655	3675	3676	3673	23129	8153	3685	3672	9922	3688	8516	10512
